t4,0,2,0
Superman,0,1,1
p1,4,5,10
p2,1,3,19
p4,1,0,1
Aravindh,0,1,0
vallu,0,0,1
Suraj,1,1,0
Tarun,1,0,1
sedhu,0,0,1
Shankar,0,0,1
Joshua,1,0,0
Sachin,1,1,0
BOT 2.0,21,9,35
Parker,0,1,0
Sundhar,2,0,0
JamesBond,1,0,0
tarun,0,0,1
Arnold,0,2,0
1,0,1,0
2,1,0,0
Peter,1,0,0
Heman,1,3,0
t1,7,11,6
Sedhu,1,1,1
t2,6,7,9
Ram,1,3,1
